企业,排名,企业估值(亿元),CEO,行业
腾讯控股,1,39000,马化腾,互联网服务
台湾积体电路制造,2,36900,刘德音,半导体
阿里巴巴,3,24800,张勇,电子商务
字节跳动,4,22500,张利东,传媒和娱乐
宁德时代,5,14900,曾毓群,锂电池
美团,6,14100,王兴,生活服务
华为,7,10000,梁华,智能手机、电信解决方案
蚂蚁集团,7,10000,井贤栋,金融科技
京东集团,9,9010,刘强东,电子商务
中国平安保险,10,8910,马明哲,金融服务
比亚迪,11,8080,王传福,汽车、手机部件及组装
拼多多,12,6600,陈磊,电子商务
网易,13,5070,丁磊,互联网技术
海天调味食品,14,5050,庞康,调味品
隆基股份,15,4970,钟宝申,硅材料
美的集团,16,4890,方洪波,家电
迈瑞生物医疗电子,17,4600,李西廷,医疗器械
农夫山泉,18,4510,钟睒睒,饮料
长城汽车,19,4500,魏建军,汽车
小米集团,20,4340,雷军,智能手机、智能家电
联发科技,21,3960,蔡明介,半导体
蔚来,22,3900,李斌,新能源汽车
药明康德,23,3850,李革,生物医药
药明生物,23,3850,李革,生物医药
东方财富,25,3640,其实,金融数据服务
百度,26,3510,李彦宏,网络信息服务
鸿海精密工业,27,3360,刘扬伟,电子设备
恒瑞医药,28,3330,孙飘扬,医药
快手科技,29,3310,宿华,传媒和娱乐
顺丰控股,29,3310,王卫,快递
牧原集团,31,3120,秦英林,畜牧
立讯精密,32,3040,王来春,消费电子精密件
安踏体育,33,3000,丁世忠,体育用品
泰康保险,34,2800,陈东升,保险
小鹏汽车,35,2630,何小鹏,新能源汽车
滴滴,36,2600,程维,共享出行
创科实业,37,2560,Horst Julius Pudwill,消费品
爱尔眼科,38,2550,陈邦,医疗服务
海尔智家,39,2480,梁海山,家用电器
伊利实业,39,2480,潘刚,乳制品
亿纬锂能,41,2440,刘金成,锂电池
新鸿基地产,42,2390,郭炳联,房地产
通威集团,43,2350,谢毅,硅材料
韦尔股份,44,2340,虞仁荣,半导体
恩捷股份,45,2310,李晓明,包装盒生产
阳光电源,46,2250,曹仁贤,新能源电源设备
百济神州,47,2180,欧雷强,生物医药
赣锋锂业,48,2170,李良彬,新能源材料
台塑石化,49,2160,陈宝郎,石油、天然气
富邦金融控股,50,2135,蔡明兴,金融服务
